"Folkmängden per region efter region, ålder, kön och år"

"region","ålder","kön","2022"
"Hagfors (Hagfors sydväst)","totalt","totalt",1395
"Hagfors (Hagfors sydöst)","totalt","totalt",1078
"Hagfors (Hagfors tätort)","totalt","totalt",4831
"Hagfors (Råda-Uddeholm)","totalt","totalt",1060
"Arvika (Arvika centrum-Högåsen-Degerängen)","totalt","totalt",4882
"Arvika (Dottevik-Östra Sund)","totalt","totalt",1329
"Arvika (Glava)","totalt","totalt",955
"Arvika (Gunnarskog)","totalt","totalt",1953
"Arvika (Haga-Agneteberg-Rosendal)","totalt","totalt",4557
"Arvika (Jössefors-Västra Sund)","totalt","totalt",1298
"Arvika (Mangskog-Brunskog)","totalt","totalt",2633
"Arvika (Solvik-Taserud)","totalt","totalt",3712
"Arvika (Speke-Rackstad-Mötterud-Humlekil)","totalt","totalt",1398
"Arvika (Stavnäs-Högerud)","totalt","totalt",1419
"Arvika (Älgå-Ny)","totalt","totalt",1696
"Säffle (Annelund-Billerud-Lugnadal)","totalt","totalt",1532
"Säffle (Höglunda-Hermes-Norelund)","totalt","totalt",1478
"Säffle (Långserud-Gillberga-Nysäter)","totalt","totalt",1336
"Säffle (Olof Trätälja-Villan-Flå)","totalt","totalt",1574
"Säffle (Rolfserud-Tingvalla-Treabackarna)","totalt","totalt",2246
"Säffle (Rudsbyn-Svanskog)","totalt","totalt",987
"Säffle (Sundstorp-Sund-Tuvan)","totalt","totalt",2267
"Säffle (Värmlandsnäs)","totalt","totalt",989
"Säffle (Västra Kila-Tveta)","totalt","totalt",1392
"Säffle (Östra Kila-Värmlandsbro-Södra Ny)","totalt","totalt",1441
"Lekeberg (Fjugesta västra)","totalt","totalt",1795
"Lekeberg (Fjugesta östra)","totalt","totalt",1046
"Lekeberg (Lekeberg norra landsbygd)","totalt","totalt",1482
"Lekeberg (Lekeberg södra landsbygd)","totalt","totalt",1480
"Lekeberg (Lekeberg-Lanna)","totalt","totalt",1859
"Lekeberg (Mullhyttan-Mullhyttan omnejd)","totalt","totalt",1094
"Laxå (Finnerödja-Tived)","totalt","totalt",1410
"Laxå (Hasselfors-Röfors)","totalt","totalt",1001
"Laxå (Laxå norra)","totalt","totalt",1622
"Laxå (Laxå södra)","totalt","totalt",1543
"Hallsberg (Hallsberg västra-Stortorget-Vibytorp)","totalt","totalt",1576
"Hallsberg (Hallsberg östra-Norrby-Samsala)","totalt","totalt",1550
"Hallsberg (Nya Långängen-Falla)","totalt","totalt",1519
"Hallsberg (Nytorget-Hässleberg-Brunnskullen)","totalt","totalt",2445
"Hallsberg (Pålsboda-Vibbanbotorp-Resta)","totalt","totalt",1668
"Hallsberg (Sköllersta-Kalsta-Sörby)","totalt","totalt",1148
"Hallsberg (Stocksätter-Kårstahult-Stora Älberg)","totalt","totalt",1253
"Hallsberg (Svennevad-Kånsta-Hjortkvarn)","totalt","totalt",1689
"Hallsberg (Vretstorp-Viby-omland)","totalt","totalt",1616
"Hallsberg (Östansjö-Tisaren-Ålsta)","totalt","totalt",1826
"Degerfors (Degerfors centrum-Bruket)","totalt","totalt",4481
"Degerfors (Strömtorp-Degernäs)","totalt","totalt",2848
"Degerfors (Svartå-Solberga-Knutsbol)","totalt","totalt",871
"Degerfors (Åtorp-Högberg-Gräsmossen)","totalt","totalt",1330
"Hällefors (Hällefors centrum)","totalt","totalt",1666
"Hällefors (Hällefors omland)","totalt","totalt",2394
"Hällefors (Hällefors-Gillershöjden)","totalt","totalt",1578
"Hällefors (Hällefors-Kronhagen)","totalt","totalt",1018
"Ljusnarsberg (Kopparberg City)","totalt","totalt",1413
"Ljusnarsberg (Kopparberg Yttre-Bångbro)","totalt","totalt",1449
"Ljusnarsberg (Ljusnarsberg Yttre)","totalt","totalt",1655
"Örebro (Adolfsberg)","totalt","totalt",3572
"Örebro (Almby-Ormesta)","totalt","totalt",4440
"Örebro (Baronbackarna)","totalt","totalt",2140
"Örebro (Brickebacken)","totalt","totalt",3399
"Örebro (Brickeberg-Norra Bro)","totalt","totalt",2790
"Örebro (Brunnsgärdet-Lindhult-Nasta)","totalt","totalt",5213
"Örebro (Ekeby-Almby-Hidingsta-Stora Mellösa)","totalt","totalt",6333
"Örebro (Eklunda-Sörby)","totalt","totalt",6377
"Örebro (Ervalla-Ölmbrotorp)","totalt","totalt",3845
"Örebro (Garphyttan-Närkes Kil)","totalt","totalt",4079
"Örebro (Glanshammar)","totalt","totalt",3767
"Örebro (Hagaby-Ringstorp)","totalt","totalt",5669
"Örebro (Holmen-Hjärsta)","totalt","totalt",4503
"Örebro (Hovsta)","totalt","totalt",2804
"Örebro (Ladugårdsängen)","totalt","totalt",5801
"Örebro (Latorp-Täby-Vintrosa)","totalt","totalt",3456
"Örebro (Lillån)","totalt","totalt",3900
"Örebro (Lundby)","totalt","totalt",2822
"Örebro (Marieberg-Mosås)","totalt","totalt",3401
"Örebro (Markbacken-Västra Mark)","totalt","totalt",4369
"Örebro (Mellringe-Björkhaga)","totalt","totalt",5848
"Örebro (Nya Hjärsta-Nyponlunden)","totalt","totalt",2976
"Örebro (Näsby-Norra Ormesta)","totalt","totalt",3522
"Örebro (Rosta-Örnsro)","totalt","totalt",5791
"Örebro (Rynninge-Grenadjärstaden)","totalt","totalt",4146
"Örebro (Sörbyängen)","totalt","totalt",4114
"Örebro (Tybble)","totalt","totalt",2385
"Örebro (Varberga-Oxhagen)","totalt","totalt",5735
"Örebro (Vivalla)","totalt","totalt",6913
"Örebro (Västhaga-Solhaga)","totalt","totalt",2578
"Örebro (Örebro city)","totalt","totalt",5671
"Örebro (Örebro norr-CV)","totalt","totalt",5588
"Örebro (Örebro söder )","totalt","totalt",5245
"Örebro (Örebro väster )","totalt","totalt",5001
"Örebro (Örebro öster)","totalt","totalt",5620
"Örebro (Östernärke)","totalt","totalt",4244
"Kumla (Haga-Djupadal-Åsen)","totalt","totalt",4165
"Kumla (Kumla centrum-Fylsta-Via)","totalt","totalt",4312
"Kumla (Kumla omland)","totalt","totalt",5616
"Kumla (Kumlaby-Korsta-Sannahed)","totalt","totalt",4778
"Kumla (Oppegård-Skogstorp-Smedstorp)","totalt","totalt",3608
"Askersund (Askersund omland norr)","totalt","totalt",1240
"Askersund (Askersund omland söder)","totalt","totalt",1473
"Askersund (Askersund omland väster)","totalt","totalt",1461
"Askersund (Askersund omland öster)","totalt","totalt",1566
"Askersund (Askersund stad)","totalt","totalt",4294
"Askersund (Åsbro)","totalt","totalt",1463
"Karlskoga (Karlskoga norra tätort)","totalt","totalt",9042
"Karlskoga (Karlskoga omland)","totalt","totalt",2138
"Karlskoga (Karlskoga västra tätort)","totalt","totalt",11035
"Karlskoga (Karlskoga östra tätort)","totalt","totalt",8063
"Nora (Esstorp-Fibbetorp)","totalt","totalt",1758
"Nora (Nora landsbygd norr)","totalt","totalt",1657
"Nora (Nora landsbygd söder)","totalt","totalt",1079
"Nora (Nora norra centrum)","totalt","totalt",1471
"Nora (Nora södra centrum )","totalt","totalt",2070
"Nora (Pershyttan-Hitorp)","totalt","totalt",1409
"Nora (Ås-Gyttorp)","totalt","totalt",1257
"Lindesberg (Fellingsbro landsbygd)","totalt","totalt",1025
"Lindesberg (Fellingsbro tätort)","totalt","totalt",1448
"Lindesberg (Frövi landsbygd)","totalt","totalt",2645
"Lindesberg (Frövi tätort)","totalt","totalt",2656
"Lindesberg (Lindesberg landsbygd)","totalt","totalt",1087
"Lindesberg (Lindesberg nordöstra)","totalt","totalt",1944
"Lindesberg (Lindesberg norra)","totalt","totalt",1824
"Lindesberg (Lindesberg sydöstra)","totalt","totalt",1485
"Lindesberg (Lindesberg södra)","totalt","totalt",2329
"Lindesberg (Lindesberg västra)","totalt","totalt",2220
"Lindesberg (Storå landsbygd)","totalt","totalt",2752
"Lindesberg (Storå tätort)","totalt","totalt",2020
"Skinnskatteberg (Skinnskatteberg centralort)","totalt","totalt",2285
"Skinnskatteberg (Skinnskatteberg ytterområden)","totalt","totalt",2117
"Surahammar (Bruket)","totalt","totalt",1099
"Surahammar (Dalskogen)","totalt","totalt",2025
"Surahammar (Ramnäs)","totalt","totalt",1361
"Surahammar (Skogslund)","totalt","totalt",1613
"Surahammar (Stavtorpet)","totalt","totalt",1699
"Surahammar (Surahammars landsbygd)","totalt","totalt",964
"Surahammar (Virsbo)","totalt","totalt",1272
"Kungsör (Granhammar-Torpa)","totalt","totalt",985
"Kungsör (Kungsör centrala)","totalt","totalt",2069
"Kungsör (Kungsör norra)","totalt","totalt",1740
"Kungsör (Kungsör södra)","totalt","totalt",2561
"Kungsör (Valskog-Kungs Barkarö)","totalt","totalt",1407
"Hallstahammar (Barnängen-Centrum-Trollebo)","totalt","totalt",2044
"Hallstahammar (Duvhällarna-Fredhem)","totalt","totalt",2446
"Hallstahammar (Hallstahammar-Kolbäck landsbygd)","totalt","totalt",1103
"Hallstahammar (Kolbäck-Sörstafors)","totalt","totalt",2478
"Hallstahammar (Nibble-Lövboås)","totalt","totalt",3064
"Hallstahammar (Näs-Lustigkulla)","totalt","totalt",1698
"Hallstahammar (Strömsholm-Säby)","totalt","totalt",1388
"Hallstahammar (Surbrunnsvägen-Tuna)","totalt","totalt",2490
"Norberg (Norberg norra)","totalt","totalt",889
"Norberg (Norberg omland)","totalt","totalt",1013
"Norberg (Norberg västra)","totalt","totalt",1702
"Norberg (Norberg östra)","totalt","totalt",2023
"Västerås (Annedal-Sydvästra centrum)","totalt","totalt",1720
"Västerås (Aroslund-Karlsdal)","totalt","totalt",3443
"Västerås (Blåsbo-Norrmalm)","totalt","totalt",1525
"Västerås (Brottberga-Norra Vallby)","totalt","totalt",2278
"Västerås (Dingtuna)","totalt","totalt",1124
"Västerås (Enhagen-Barkarö)","totalt","totalt",3093
"Västerås (Erikslund-Eriksborg-Hagaberg)","totalt","totalt",1802
"Västerås (Finnslätten-Norra Bjurhovda)","totalt","totalt",1291
"Västerås (Framnäs-Talltorp-Hässlö)","totalt","totalt",4521
"Västerås (Gideonsberg-Emaus)","totalt","totalt",4191
"Västerås (Hacksta-Stohagen)","totalt","totalt",1607
"Västerås (Haga-Sandgärdet)","totalt","totalt",4806
"Västerås (Hammarby Stadshage-Östra Hammarby-Södra Vetterstorp)","totalt","totalt",4085
"Västerås (Hemdal-Klockartorpet)","totalt","totalt",3625
"Västerås (Herrgärdet-Kyrkbacken)","totalt","totalt",3124
"Västerås (Hökåsen-Hökåsen omland)","totalt","totalt",3107
"Västerås (Irsta)","totalt","totalt",3080
"Västerås (Kopparlunden-Östermalm)","totalt","totalt",3161
"Västerås (Kvicksund)","totalt","totalt",1260
"Västerås (Malmaberg)","totalt","totalt",5216
"Västerås (Nordanby Gärde-Norra Gideonsberg)","totalt","totalt",3317
"Västerås (Norra Brandthovda-Tibble)","totalt","totalt",2106
"Västerås (Norra Skallberget-Nordanby)","totalt","totalt",2382
"Västerås (Rönnby-Billsta-Åshagen)","totalt","totalt",3665
"Västerås (Skiljeboplatsen)","totalt","totalt",1752
"Västerås (Skiljebo-Södra Brandthovda-Hälla)","totalt","totalt",2029
"Västerås (Skultuna)","totalt","totalt",3289
"Västerås (Sydvästra Bjurhovda)","totalt","totalt",2093
"Västerås (Södra Gryta)","totalt","totalt",3990
"Västerås (Södra Jakobsberg)","totalt","totalt",1811
"Västerås (Södra Skallberget)","totalt","totalt",2002
"Västerås (Tillberga)","totalt","totalt",2229
"Västerås (Vega-Tunby-Sydvästra Nordanby)","totalt","totalt",1953
"Västerås (Vetterslund-Nordöstra Råby)","totalt","totalt",2122
"Västerås (Västerås norra landsbygd)","totalt","totalt",4888
"Västerås (Västerås västra landsbygd)","totalt","totalt",4417
"Västerås (Västerås östra landsbygd)","totalt","totalt",4314
"Västerås (Västra Bäckby-Nordöstra Skälby)","totalt","totalt",6609
"Västerås (Västra centrum-Västermalm-Almelund)","totalt","totalt",3170
"Västerås (Västra Hammarby)","totalt","totalt",1562
"Västerås (Västra Pettersberg-Södra Vallby-Källtorp)","totalt","totalt",6173
"Västerås (Västra Råby)","totalt","totalt",2079
"Västerås (Västra Skälby)","totalt","totalt",1940
"Västerås (Västra Viksäng-Kungsängen-Ängsgärdet)","totalt","totalt",1755
"Västerås (Önsta-Norra Gryta-Stenby)","totalt","totalt",5495
"Västerås (Östra Bäckby)","totalt","totalt",4505
"Västerås (Östra hamnen-Öster Mälarstrand)","totalt","totalt",8950
"Västerås (Östra Pettersberg-Trumslagarbacken-Lustigkulla)","totalt","totalt",2076
"Västerås (Östra Råby-Norra Vetterstorp)","totalt","totalt",4287
"Västerås (Östra Viksäng)","totalt","totalt",3634
"Sala (Sala centralt)","totalt","totalt",3803
"Sala (Sala omland norra)","totalt","totalt",5038
"Sala (Sala omland södra)","totalt","totalt",3808
"Sala (Sala stad övriga)","totalt","totalt",6157
"Sala (Åkra-Jakobsberg-Bryggeriet)","totalt","totalt",4175
"Fagersta (Fagersta centrum)","totalt","totalt",6560
"Fagersta (Per Ols)","totalt","totalt",2236
"Fagersta (Västanfors västra-Hedkärra)","totalt","totalt",1556
"Fagersta (Västanfors östra-Meling)","totalt","totalt",1760
"Fagersta (Åvestbo-Ängelsberg-Ulvsbo)","totalt","totalt",1229
"Köping (Kolsva)","totalt","totalt",2524
"Köping (Köping centrala)","totalt","totalt",3707
"Köping (Köping nordväst)","totalt","totalt",3346
"Köping (Köping sydväst)","totalt","totalt",2691
"Köping (Köping västra omland )","totalt","totalt",3406
"Köping (Köping östra omland )","totalt","totalt",3028
"Köping (Nibblesbacke)","totalt","totalt",1810
"Köping (Skogsborg)","totalt","totalt",2126
"Köping (Östanås-Johannisdal)","totalt","totalt",3482
"Arboga (Arboga landsbyggd norr)","totalt","totalt",1292
"Arboga (Arboga landsbyggd syd)","totalt","totalt",1522
"Arboga (Grindberga-Anneberg)","totalt","totalt",1763
"Arboga (Ladubackgärdena-Prästgärdet)","totalt","totalt",1405
"Arboga (Nästkvarn-Studrestaden)","totalt","totalt",1910
"Arboga (Sjukhusgärdet-Ekbacken)","totalt","totalt",1138
"Arboga (Strömsnäs-Brattberget)","totalt","totalt",2096
"Arboga (Vasastaden-Marieborg-Näsby)","totalt","totalt",938
"Arboga (Vinbäcken-Åbrinken-Söder)","totalt","totalt",2019
"Vansbro (Vansbro västra landsbygd)","totalt","totalt",1426
"Vansbro (Vansbro)","totalt","totalt",2259
"Vansbro (Dala-Järna)","totalt","totalt",2149
"Vansbro (Vansbro östra landsbygd)","totalt","totalt",966
"Malung-Sälen (Limedsforsen-Lima-Rörbäcksnäs)","totalt","totalt",1532
"Malung-Sälen (Malungs nordöstra tätort)","totalt","totalt",2017
"Malung-Sälen (Malungs omland)","totalt","totalt",1589
"Malung-Sälen (Malungs sydöstra tätort)","totalt","totalt",1646
"Malung-Sälen (Malungs västra tätort)","totalt","totalt",1384
"Malung-Sälen (Transtrand-Sälen-Sörsjön)","totalt","totalt",2090
"Gagnef (Björbo)","totalt","totalt",1763
"Gagnef (Brötjärna omland)","totalt","totalt",1783
"Gagnef (Djurmo omland)","totalt","totalt",1896
"Gagnef (Djurås)","totalt","totalt",1549
"Gagnef (Kyrkbyn)","totalt","totalt",1490
"Gagnef (Mockfjärd)","totalt","totalt",2018
"Leksand (Insjön-Tunsta)","totalt","totalt",2218
"Leksand (Käringberget)","totalt","totalt",1685
"Leksand (Noret-Ullvi-Rönnäs)","totalt","totalt",2525
"Leksand (Siljansnäs-Leksand väst)","totalt","totalt",3193
"Leksand (Tällberg-Leksand öst)","totalt","totalt",2956
"Leksand (Åkerö-Västanvik-Häradsbygden)","totalt","totalt",3536
"Rättvik (Rättvik centrum-Sjurberg)","totalt","totalt",1930
"Rättvik (Rättvik nordöstra)","totalt","totalt",1806
"Rättvik (Rättvik norra omland)","totalt","totalt",1096
"Rättvik (Rättvik norra-Vikarbyn)","totalt","totalt",1395
"Rättvik (Rättvik södra)","totalt","totalt",2189
"Rättvik (Rättvik södra omland)","totalt","totalt",2676
"Orsa (Orsa centrala)","totalt","totalt",3506
"Orsa (Orsa nordvästra)","totalt","totalt",809
"Orsa (Orsa omland)","totalt","totalt",1290
"Orsa (Orsa sydöstra)","totalt","totalt",1329
"Älvdalen (Idre-Älvdalen norra omland)","totalt","totalt",1177
"Älvdalen (Rot-Holen-Näset)","totalt","totalt",703
"Älvdalen (Särna-Älvdalen mellersta omland)","totalt","totalt",936
"Älvdalen (Älvdalen södra omland )","totalt","totalt",1896
"Älvdalen (Älvdalen-Kåtilla-Västäng)","totalt","totalt",2306
"Smedjebacken (Hagge-Björsjö)","totalt","totalt",1625
"Smedjebacken (Malingsbo-Larsbo)","totalt","totalt",1596
"Smedjebacken (Morgårdshammar-Gubbo)","totalt","totalt",1676
"Smedjebacken (Smedjebacken centrum)","totalt","totalt",1386
"Smedjebacken (Smedjebacken Norra)","totalt","totalt",1098
"Smedjebacken (Smedjebacken Södra)","totalt","totalt",1488
"Smedjebacken (Starbo-Åsmansbo)","totalt","totalt",966
"Smedjebacken (Söderbärke)","totalt","totalt",1087
"Mora (Färnäs-Nusnäs)","totalt","totalt",1787
"Mora (Hånåkni-Utmeland-Vinäs)","totalt","totalt",2246
"Mora (Mora centrala)","totalt","totalt",2245
"Mora (Mora nordvästra)","totalt","totalt",2007
"Mora (Morkarlby-Selja-Långlet)","totalt","totalt",1550
"Mora (Noret norra)","totalt","totalt",1692
"Mora (Noret södra)","totalt","totalt",1283
"Mora (Saxnäs-Yvraden)","totalt","totalt",1568
"Mora (Sollerön-Gesunda-Ryssa)","totalt","totalt",1708
"Mora (Vattnäs-Bergkarlås-Garsås)","totalt","totalt",960
"Mora (Våmhus-Bonäs)","totalt","totalt",1310
"Mora (Öna-Östnor-Kråkberg)","totalt","totalt",2323
"Falun (Aspeboda)","totalt","totalt",2100
"Falun (Bjursås)","totalt","totalt",2066
"Falun (Bjursås omland-Sågmyra)","totalt","totalt",1570
"Falun (Bojsenburg)","totalt","totalt",2003
"Falun (Enviken-Linghed-Svärdsjö omland)","totalt","totalt",3054
"Falun (Falu centrum norra)","totalt","totalt",3388
"Falun (Falu centrum södra)","totalt","totalt",4659
"Falun (Grycksbo)","totalt","totalt",1903
"Falun (Herrhagen)","totalt","totalt",1749
"Falun (Hosjö)","totalt","totalt",3145
"Falun (Kvarnberget-Främby-Källviken)","totalt","totalt",3469
"Falun (Nedre Norslund)","totalt","totalt",1527
"Falun (Pilbo-Samuelsdal-Gruvriset)","totalt","totalt",4180
"Falun (Slätta-Gamla Berget)","totalt","totalt",4329
"Falun (Stennäset-Britsarvet-Lugnet)","totalt","totalt",6765
"Falun (Sundborn-Danholn-Toftbyn)","totalt","totalt",4109
"Falun (Svärdsjö)","totalt","totalt",2034
"Falun (Vika)","totalt","totalt",1840
"Falun (Övre Norslund-Hälsinggården-Korsnäs)","totalt","totalt",5928
"Borlänge (Bulllermyren)","totalt","totalt",2504
"Borlänge (Forssa)","totalt","totalt",1698
"Borlänge (Gylle-Åselby-Färjegårdarna-Hytting)","totalt","totalt",5459
"Borlänge (Jakobsgårdarna-Paradiset-Nygårdsdalen)","totalt","totalt",3986
"Borlänge (Kupolen-Norra Backa-Hagalund-Ringen)","totalt","totalt",3718
"Borlänge (Lergärdet-Bergslagsbyn)","totalt","totalt",3350
"Borlänge (Medväga-Hönsarvet-Domnarvet-Barkagärdet-Islingby-Nyckelby)","totalt","totalt",4281
"Borlänge (Mjälga-Centrum)","totalt","totalt",1884
"Borlänge (Repbäcken-Amsberg-Kvarnsveden)","totalt","totalt",3643
"Borlänge (Romme)","totalt","totalt",1801
"Borlänge (Skräddarbacken-Mats Knuts-Nygårdarna)","totalt","totalt",4043
"Borlänge (Södra Bullermyren-Norra Hagalund)","totalt","totalt",1974
"Borlänge (Tjärna Ängar)","totalt","totalt",2577
"Borlänge (Tolsbo-Strandbo-Sörbo-Repbäcken-Idkerberget-Halvarsgårdarna)","totalt","totalt",3294
"Borlänge (Torsång-Sunnanö-Uvberget-Fågelmyra-Oberget-Ornäs)","totalt","totalt",3219
"Borlänge (Östermalm)","totalt","totalt",2330
"Borlänge (Övre Tjärna)","totalt","totalt",2417
"Säter (Gustafs omland)","totalt","totalt",922
"Säter (Mora-Enbacka-Naglarby)","totalt","totalt",1981
"Säter (Säter centrala)","totalt","totalt",1770
"Säter (Säter västra)","totalt","totalt",1701
"Säter (Säter östra)","totalt","totalt",1320
"Säter (Säters omland)","totalt","totalt",3577
"Hedemora (Garpenbergsområdet)","totalt","totalt",941
"Hedemora (Hedemora landsbygd)","totalt","totalt",2427
"Hedemora (Hedemora stad)","totalt","totalt",7757
"Hedemora (Långshytte-Husby området)","totalt","totalt",3196
"Hedemora (Vikmanshytteområdet)","totalt","totalt",1122
"Avesta (Avesta norra-Avesta västra-Karlbo)","totalt","totalt",8222
"Avesta (Avesta omland)","totalt","totalt",4732
"Avesta (Avesta södra-Avesta östra-Bengtsbo)","totalt","totalt",6285
"Avesta (Horndal)","totalt","totalt",1099
"Avesta (Krylbo-Isaksbo-Mästerbo)","totalt","totalt",2594
"Ludvika (Fredriksberg)","totalt","totalt",703
"Ludvika (Grangärde-Sunnansjö)","totalt","totalt",1989
"Ludvika (Grängesberg)","totalt","totalt",3418
"Ludvika (Högberget)","totalt","totalt",2995
"Ludvika (Ludvika gård)","totalt","totalt",2021
"Ludvika (Ludvika norra)","totalt","totalt",5088
"Ludvika (Ludvika södra)","totalt","totalt",3589
"Ludvika (Marnäs)","totalt","totalt",1887
"Ludvika (Saxdalen-Blötberget-Gonäs)","totalt","totalt",2351
"Ludvika (Sörvik-Persbo-Gräsberg)","totalt","totalt",2312
"Ockelbo (Ockelbo tätort)","totalt","totalt",3140
"Ockelbo (Ockelbos omland)","totalt","totalt",2681
"Hofors (Hofors tätort)","totalt","totalt",6523
"Hofors (Hofors västra omland)","totalt","totalt",1027
"Hofors (Hofors östra omland)","totalt","totalt",1922
"Ovanåker (Alfta)","totalt","totalt",2927
"Ovanåker (Edsbyn)","totalt","totalt",4944
"Ovanåker (Ovanåkers landsbygd)","totalt","totalt",3751
"Nordanstig (Bergsjö)","totalt","totalt",1427
"Nordanstig (Gnarp)","totalt","totalt",1306
"Nordanstig (Nordanstig nordvästra omland)","totalt","totalt",1233
"Nordanstig (Nordanstig nordöstra omland)","totalt","totalt",1866
"Nordanstig (Nordanstig södra omland)","totalt","totalt",3655
"Ljusdal (Färila)","totalt","totalt",1558
"Ljusdal (Järvsö)","totalt","totalt",1621
"Ljusdal (Järvsö omland)","totalt","totalt",2687
"Ljusdal (Ljusdal)","totalt","totalt",5697
"Ljusdal (Ljusdal norra)","totalt","totalt",1818
"Ljusdal (Ljusdal omland)","totalt","totalt",4437
"Ljusdal (Tallåsen)","totalt","totalt",953
"Gävle (Andersberg)","totalt","totalt",5716
"Gävle (Bergby-Norrsundet)","totalt","totalt",3535
"Gävle (Björke-Norrlandet)","totalt","totalt",3941
"Gävle (Forsbacka-Överhärde)","totalt","totalt",3622
"Gävle (Furuvik-Sälgsjön)","totalt","totalt",3020
"Gävle (Gävle centrum)","totalt","totalt",9124
"Gävle (Gävle Strand-Näringen-Öster)","totalt","totalt",2669
"Gävle (Gävle söder-Sörby)","totalt","totalt",6311
"Gävle (Hagaström-Lexe)","totalt","totalt",3305
"Gävle (Hedesunda)","totalt","totalt",2709
"Gävle (Hemlingby-Hemsta-Järvsta)","totalt","totalt",3805
"Gävle (Hille-Åbyggeby)","totalt","totalt",4235
"Gävle (Holmsund-Sjöäng-Sörby Urfjäll)","totalt","totalt",3978
"Gävle (Jonstorp-Lindbacka-Strömsbro)","totalt","totalt",3125
"Gävle (Norra Brynäs)","totalt","totalt",4316
"Gävle (Norrtull-Nynäs)","totalt","totalt",3472
"Gävle (Stigslund-Gavlehov)","totalt","totalt",5483
"Gävle (Sätra)","totalt","totalt",8405
"Gävle (Södra Bomhus)","totalt","totalt",7469
"Gävle (Södra Brynäs)","totalt","totalt",4003
"Gävle (Valbo)","totalt","totalt",5668
"Gävle (Villastaden-Fridhem)","totalt","totalt",5582
"Sandviken (Järbo)","totalt","totalt",1864
"Sandviken (Kungsgården)","totalt","totalt",1128
"Sandviken (Sandviken centrum )","totalt","totalt",6447
"Sandviken (Sandviken nordöstra tätorten)","totalt","totalt",2149
"Sandviken (Sandviken södra tätorten)","totalt","totalt",7877
"Sandviken (Sandviken västra tätorten)","totalt","totalt",7036
"Sandviken (Sandviken östra tätort)","totalt","totalt",2121
"Sandviken (Sandvikens norra omland)","totalt","totalt",3531
"Sandviken (Sandvikens södra omland)","totalt","totalt",3313
"Sandviken (Storvik)","totalt","totalt",2566
"Sandviken (Årsunda)","totalt","totalt",1066
"Söderhamn (Bergviksbygden)","totalt","totalt",1514
"Söderhamn (Bergvik-Vannsätter)","totalt","totalt",1128
"Söderhamn (Ljusne)","totalt","totalt",1861
"Söderhamn (Norrala-Trönö)","totalt","totalt",3603
"Söderhamn (Sandarne)","totalt","totalt",1904
"Söderhamn (Skog)","totalt","totalt",1407
"Söderhamn (Söderala-Mo)","totalt","totalt",2316
"Söderhamn (Söderhamn centrala staden norr)","totalt","totalt",2861
"Söderhamn (Söderhamn centrala staden söder)","totalt","totalt",6430
"Söderhamn (Söderhamn centrum )","totalt","totalt",2234
"Bollnäs (Arbrå landsbygd)","totalt","totalt",1927
"Bollnäs (Arbrå tätort)","totalt","totalt",2183
"Bollnäs (Björktjära-Framnäs)","totalt","totalt",1877
"Bollnäs (Bollnäs centrum)","totalt","totalt",1842
"Bollnäs (Bollnäs landsbygd)","totalt","totalt",3622
"Bollnäs (Gärdet)","totalt","totalt",2424
"Bollnäs (Höglunda-Brånan)","totalt","totalt",1808
"Bollnäs (Kilafors landsbygd)","totalt","totalt",1776
"Bollnäs (Kilafors-Sibo tätort)","totalt","totalt",1547
"Bollnäs (Ren)","totalt","totalt",2976
"Bollnäs (Rengsjö kommundel)","totalt","totalt",1256
"Bollnäs (Säversta-Granberg-Hertsjö)","totalt","totalt",1880
"Bollnäs (Sävsberg-Heden)","totalt","totalt",1506
"Hudiksvall (Bjuråkersbygden)","totalt","totalt",2455
"Hudiksvall (Björkberg-Maln)","totalt","totalt",1831
"Hudiksvall (Delsbo)","totalt","totalt",2515
"Hudiksvall (Delsbo omland)","totalt","totalt",1927
"Hudiksvall (Enånger-Njutångersbygden)","totalt","totalt",2694
"Hudiksvall (Forsa-Näsvikens omland)","totalt","totalt",1178
"Hudiksvall (Hudiksvall södra)","totalt","totalt",1597
"Hudiksvall (Hudiksvall västra)","totalt","totalt",1374
"Hudiksvall (Hudiksvall östra)","totalt","totalt",3970
"Hudiksvall (Håsta)","totalt","totalt",2438
"Hudiksvall (Hög-Mellanbyn-Rogsta)","totalt","totalt",3797
"Hudiksvall (Idenor)","totalt","totalt",943
"Hudiksvall (Iggesund norra)","totalt","totalt",2019
"Hudiksvall (Iggesund södra)","totalt","totalt",1393
"Hudiksvall (Jakobsberg-Kristineberg)","totalt","totalt",3073
"Hudiksvall (Näsviken)","totalt","totalt",1092
"Hudiksvall (Sanna-Sandvalla)","totalt","totalt",1712
"Hudiksvall (Sörforsa)","totalt","totalt",1680
"Ånge (Fränsta)","totalt","totalt",1445
"Ånge (Ljungaverk)","totalt","totalt",766
"Ånge (Ånge omland )","totalt","totalt",4148
"Ånge (Ånge tätort)","totalt","totalt",2784
"Timrå (Bergeforsen-Stavreviken)","totalt","totalt",1971
"Timrå (Edsgården-Vävland-Timrådalen)","totalt","totalt",1740
"Timrå (Ljustorp)","totalt","totalt",957
"Timrå (Sörberge-Fagervik-Norrberge)","totalt","totalt",2393
"Timrå (Söråker)","totalt","totalt",2522
"Timrå (Tallnäs-Böle)","totalt","totalt",2413
"Timrå (Timrå centrum)","totalt","totalt",3879
