Skolenhetskod,Kommunkod,PeOrgNr,Skolenhetsnamn,Status
62726867,1401,2120001264,Högadalsskolan,Vilande
91448915,0883,2120000779,Central Insamlingsenhet Enskild verksamhet,Vilande
35370707,0163,5567301790,Säbyholm Utbildningar,Vilande
89988193,1480,2120001355,Specialskolan Björnen,Vilande
44553894,0305,2120000241,Resursskolan,Vilande
78757885,0760,2120000605,Central Insamlingsenhet Enskild verksamhet,Vilande
45894249,2380,2120002528,Central Insamlingsenhet Enskild verksamhet,Vilande
92780572,2380,2120002528,Central Insamlingsenhet Kommunal verksamhet,Vilande
84461045,1761,2120001850,Hammarögymnasiet/gy,Vilande
13904533,0136,7696003545,Fria gymnasieskolan i Haninge,Vilande
45003642,1480,7696117550,Infoglob Ekonomisk Förening SFI,Vilande
50379076,0180,2120000142,S:t Eriks gy/ Scengy 50379076,Vilande
59607997,0680,2120000530,Bäckadalsgymnasiet Ro3/Fordon,Vilande
52155736,2361,2120002510,Central Insamlingsenhet,Vilande
40467958,2180,2120002338,Tallbo grundsärskola,Vilande
74467930,1480,5565042255,Snitz Grundskola Göteborg,Vilande
18157328,1480,5565042255,Snitz Gymnasium Göteborg,Vilande
32437585,1489,2120001553,Central Insamlingsenhet,Vilande
45396954,2281,2120002411,Stöde skola 2,Vilande
57594898,0180,8020072644,Martinskolan gymnasiesärskola,Vilande
79873904,0188,2120000217,Rodens service- och omsorgsgy,Vilande
41308407,0617,2120000506,Nissaforsskolan,Vilande
36894260,0513,2120000399,Central Insamlingsenhet Enskild regi,Vilande
26488479,1277,5569291734,Öresundsbemanning AB,Vilande
28186943,0125,2120000050,Central Insamlingsenhet Enskild verksamhet,Vilande
74304623,1284,2120001165,Central Insamlingsenhet Enskild verksamhet,Vilande
73872833,1496,2120001710,Central Insamlingsenhet Enskild verksamhet,Vilande
78263108,0180,2120000142,Central Insamlingsenhet Enskild verksamhet,Vilande
65213125,0584,2120002825,Central Insamlingsenhet Kommunal verksamhet,Vilande
67405084,0584,2120002825,Ro integrerade särskoleelever,Vilande
67834023,0584,2120002825,Central Insamlingsenhet Enskild verksamhet,Vilande
76344588,1480,2120001355,Ro integrerade särskoleelever,Vilande
75170888,1783,2120001884,Särvux Hagfors,Vilande
51029931,0834,2120000696,Central Insamlingsenhet,Vilande
65281691,2034,2120002189,"Orsa Lärcentrum, SFI",Vilande
69659285,2034,2120002189,"Orsa Lärcentrum, särvux",Vilande
