Skolenhetskod;Skolenhetsnamn;Huvudman_Namn
12266784;JENSEN grundskola Solna;JENSEN EDUCATION COLLEGE AB
46405935;JENSEN grundskola Stockholm 3;JENSEN EDUCATION COLLEGE AB
17666526;JENSEN Gymnasium Kristianstad;JENSEN EDUCATION COLLEGE AB
29445330;Betty Petterssons gymnasium;STOCKHOLMS KOMMUN
43614611;Sommarskola Stockholm stad;STOCKHOLMS KOMMUN
28496932;Sthlm hotell & restaurangsk, komvux;STOCKHOLMS KOMMUN
22742420;Sthlms intensivsv f akadem;STOCKHOLMS KOMMUN
94498092;Sthlms intensivsv f akadem SFI;STOCKHOLMS KOMMUN
58984764;Solängsskolan;GÄVLE KOMMUN
46764433;Staffansskolan;GÄVLE KOMMUN
49779956;Stora Sätraskolan;GÄVLE KOMMUN
23223141;Sörbyskolan;GÄVLE KOMMUN
54990077;Vallbacksskolan;GÄVLE KOMMUN
24643177;Jämtlands Gymn, Wargentin 2E;JÄMTLANDS GYMNASIEFÖRBUND
68167443;Vuxenutbildning OS-B;OSKARSHAMNS KOMMUN
68031609;Vuxenutbildning OS-D;OSKARSHAMNS KOMMUN
60188309;Jämtlands Vux Östersund;JÄMTLANDS GYMNASIEFÖRBUND
11406792;Gylle skola 7-9;BORLÄNGE KOMMUN
98971545;Halvarsgårdars skola;BORLÄNGE KOMMUN
82269879;Vikingaskolan;GÄVLE KOMMUN
56442130;Maserskolan;BORLÄNGE KOMMUN
70910962;Vuxenutbildning;OSKARSHAMNS KOMMUN
73689078;Paradisskolan;BORLÄNGE KOMMUN
44306555;Håstensskolan 6 och 7;VARBERGS KOMMUN
75684823;Håstensskolan 8 och 9;VARBERGS KOMMUN
83119674;Tunets skola;BORLÄNGE KOMMUN
71102563;Toftaskolan;FALU KOMMUN
65192707;Soltorgsgymnasiet;BORLÄNGE KOMMUN
19100658;Introduktionsprogrammen;BORLÄNGE KOMMUN
83671390;Ljungbergsgymnasiet;BORLÄNGE KOMMUN
46508788;Välkomstcentrum;BORLÄNGE KOMMUN
99022046;Sköndalsskolan;STOCKHOLMS KOMMUN
33922950;Smedslättsskolan;STOCKHOLMS KOMMUN
97400863;Vinsta grundskola västra;STOCKHOLMS KOMMUN
42912378;Vinsta grundskola östra;STOCKHOLMS KOMMUN
27273328;Årstadalsskolan;STOCKHOLMS KOMMUN
13735206;Midsommarkransens Gymnasium, Uppdragsutb.;STOCKHOLMS KOMMUN
19423108;Barn och elevhälsa;UDDEVALLA KOMMUN
75152656;Falu Vux, grund, anpassad;FALU KOMMUN
93340245;Vuxenutbildningen, anpassad;BORLÄNGE KOMMUN
23071430;Vuxenutbildningen, SFI;BORLÄNGE KOMMUN
23082538;Vuxenutbildningen;BORLÄNGE KOMMUN
50696507;Ridsportsgymnasiet;Ridskolan Strömsholm RS AB
42892954;Introduktionsprogrammet Språkintroduktion;GULLSPÅNGS KOMMUN
45944463;JENSEN grundskola Kävlinge;JENSEN EDUCATION COLLEGE AB
11786635;JENSEN grundskola Trelleborg;JENSEN EDUCATION COLLEGE AB
82726493;Ängetskolan 3-9;ÖRNSKÖLDSVIKS KOMMUN
22335099;Adolfsbergsskolan;KNIVSTA KOMMUN
59464350;Brännkärrsskolan;KNIVSTA KOMMUN
60492534;Freinetskolan i Lund;FREINETSKOLAN I LUND,IDEELL FÖRENING
30064502;Lagga skola;KNIVSTA KOMMUN
54029453;JENSEN Gymnasium Växjö;JENSEN EDUCATION COLLEGE AB
97064126;Sjögrenska gymnasiet;KNIVSTA KOMMUN
63179610;Beda Hallbergs gymnasium;KUNGSBACKA KOMMUN
